Date,cityAccidente,countryAccidente,Operator,cityOrigen,cityDestino,Type,Aboard,Fatalities,Ground,latAccidente,lonAccidente,latDestino,lonDestino,latOrigen,lonOrigen
12/2/1999, Bishop, California,Ameriflight,Melbourne,Maiquetia,Beechcraft C99,1,1,0,37.3650412,-118.3946477,10.5941608,-66.9554841,-37.8142176,144.9631608
9/12/1999, Branson, Missouri,College of the Ozarks,Luena,Charleston,Cessna 525 Citation,6,6,0,36.6440399,-93.217133,38.3498221,-81.6326301,43.11175845,-3.907038284
7/20/1999, Bluefields, Nicaragua,La Costena,Chicago,Caracas,Cessna 208B Grand Caravan,16,16,0,12.0130526,-83.7649647,10.506098,-66.9146017,41.8755546,-87.6244212
7/4/1999, Ceyhan, Turkey,Turkish Airlines (THY),Basilan,Santa Katarina,Boeing 737-4Q8,6,6,0,37.0283058,35.8171007,-27.0628367,-51.114965,6.578645,122.034922
12/14/1998, Cuito, Angola,Khors Aircompany,Norfolk,Belgrade,Antonov AN-12BP,11,11,0,-12.422355,15.7581213,44.8178787,20.4568089,36.9306505,-76.25731107
5/3/1998, Clarksville, Tennesee,Baron Aviation,Bridgetown,Lyon,Cessna 208B Caravan I Super Cargomaster,1,1,0,38.2967791,-85.7602087,45.7575286,4.8324803,13.1018264,-59.618848
4/20/1998, Bogota, Colombia,Air France,Rome,Leopoldville,Boeing B-727-230,53,53,0,4.5980478,-74.0760867,-4.3217055,15.3125974,41.8933439,12.4830718
3/2/1998, Cavalese, Italy,Military - U.S. Marine Corps,San Vicente del Caguan,Paris,Grummand EA-6B,2,0,20,46.2912,11.4604332,48.8565056,2.3521334,2.1133577,-74.7719119
8/11/1997, Barrow, Alaska,Hageland Aviation Services,Delhi,Brasilia,Cessna 208B Caravan I,8,8,0,33.9848611,-83.6996482,-10.3333333,-53.2,28.6572914,77.2272603
8/18/1996, Alliford Bay, Canada2,Harbour Air,Antilla,Ardmore,de Havilland Canada DHC-3 Turbo Otter,3,3,0,53.2092942,-131.9857948,40.004128,-75.28830051,-13.6456069,-72.5728182
8/14/1996, Bronson Creek, Canada,Air North,Salt Lake City,Tampico,Douglas DC-4,3,1,0,45.5323964,-122.8672561,22.2170473,-97.8463662,40.7670126,-111.8904308
7/17/1996, East Moriches, New York,Trans World Airlines,Rota,Farah,Boeing B-747-131,230,230,0,40.8050989,-72.7609336,32.607111,62.671011,14.1549037,145.2047723
6/2/1996, Ensenada, Mexico,AÃƒâ€¡Ã‚Â¸rotaxi Cachanilla,Kandahar,Moscow,Cessna 500 Citation,8,8,0,31.860742,-116.6248246,55.7516335,37.6187042,31.6257334,65.7145053
1/29/1996, Blenheim, New Zealand,Soundsair,Chichen Itza,Pointe a Pitre,Cessna 208 Caravan I,6,5,0,-41.5154337,173.9602367,16.2408636,-61.5334077,20.68285195,-88.56871954
12/9/1995, Colombo, Sri Lanka,Military - Sri Lanka Air Force,Split,Vung Tau,Antonov AN-32,81,81,0,6.934287,79.8532704,10.3486485,107.0765028,43.5115555,16.4396801
10/1/1995, Flores Island, Inodnesia,Merpati Nusantara Airlines,Kabul,Mirny,de Havilland Canada DHC-6 Twin Otter 300,14,14,0,49.32297555,-126.1560587,-66.5528889,93.0096667,34.5197058,69.1624302
